data,region,liga,godzina,druzyna_dom,forma_dom,forma_wyjazd,druzyna_wyjazd,kurs_dom,kurs_remis,kurs_wyjazd
12/08,Mezhdunarodnye,Club Friendlies Women,16:30,Club de Lens Le Havre W,0.75,2.00,Lens W,,,
12/08,Shvetsiya,Liga U19,16:30,U19 GAIS U19,,,IFK Goteborg U19,,,
12/08,Germaniya,Regional Cup Wurttemberg,16:30,FC Holzhausen,3.00,3.00,Reutlingen,,,
12/08,Rossiya,Kubok Rossii,17:00,Cherepovets Tosno Sankt-Peterburg,,,Cherepovets,,,
12/08,Rossiya,Kubok Rossii,17:00,Khimik Dzerzhinsk,,,FC Nosta Novotroitsk,,,
12/08,Rossiya,Kubok Rossii,17:00,Rostov-na-Donu Spartak Tambov,,,SKA Rostov,,,
12/08,Shvetsiya,Liga U19,17:00,U19 Halmstad U19,,,Mjallby U19,,,
12/08,Germaniya,Regional Cup Sudbaden,17:00,Elzach-Yach,3.00,0.00,FC Teningen,,,
12/08,Germaniya,Regional Cup Sudbaden,17:00,Kuppenheim,3.00,0.00,Oberachern,,,
12/08,Germaniya,Regional Cup Sudbaden,17:00,Reichenau / Waldsiedlung,0.00,0.00,Villingen,,,
12/08,Germaniya,Severnaya regionalnaya liga,17:00,Lyubek Bremer SV,,,Phonix Lubeck,,,
12/08,Evropa,UEFA Europa Conference League,17:00,GKS Katowice,1.00,2.33,Hapoel Tel Aviv,2.10,3.35,3.95
12/08,Evropa,UEFA Europa Conference League,17:00,Kbenhavn,2.33,1.33,Debrecen,1.25,6.00,10.00
12/08,Evropa,UEFA Europa Conference League,17:00,Rapid Wien,3.00,1.60,Paide,1.13,9.80,15.00
12/08,Daniya,Womens Cup,17:00,Fremad Valby Skjold Birkerd W,0.00,0.00,Fremad Valby W,,,
12/08,Daniya,Womens Cup,17:00,IF stvendsyssel W,0.00,0.00,Brabrand W,,,
12/08,Daniya,Womens Cup,17:00,Kammeraternes SK Women DSIO W,0.00,0.00,OKS W,,,
12/08,Daniya,Womens Cup,17:00,Q GB Women Shus Stige W,0.00,0.00,Snderborg Q / GB W,,,
12/08,Daniya,Womens Cup,17:00,Skjold Lyngby W,0.00,0.00,Skjold W,,,
12/08,Daniya,Womens Cup,17:00,W Haderslev W,0.00,0.00,Esbjerg W,,,
12/08,Daniya,Womens Cup,17:00,Zh Dalum / Nsby,0.00,0.00,Odense Q,,,
12/08,Daniya,Womens Cup,17:00,zh Aalborg Freja W,0.00,0.00,ASA W,,,
12/08,Daniya,Womens Cup,17:00,zh Froyar W,0.00,0.00,Fredensborg,,,
12/08,Daniya,Womens Cup,17:00,zh Fuglebakken KFUM W,0.00,0.00,FC Thy - ThistedQ,,,
12/08,Mezhdunarodnye,Tovarischeskie matchi klubov 3,17:15,Newcastle United,1.75,1.40,Everton,2.15,3.60,3.00
12/08,Rossiya,Kubok Rossii,17:30,Pobeda Volgar Astrakhan,,,Pobeda,,,
12/08,Shvetsiya,Liga U19,17:30,U19 Kalmar U19,,,IFK Norrkoping U19,,,
12/08,Germaniya,Oberliga Essen,17:30,Fernwald,3.00,0.00,TuBa Pohlheim,2.05,3.90,2.72
12/08,Germaniya,Oberliga Essen,17:30,Gieen,0.00,1.00,Rot-Wei Hadamar,1.74,4.04,3.46
12/08,Germaniya,Regional Cup Berlin,17:30,Al Kauthar Eiche Kopenick,0.00,0.00,Al-Kauthar,,,
12/08,Germaniya,Severnaya regionalnaya liga,17:30,Delmenhorst HSC Hannover,,,Atlas Delmenhorst,,,
12/08,Germaniya,Severnaya regionalnaya liga,17:30,Schoningen Eimsbutteler TV,,,Schoningen,,,
12/08,Mezhdunarodnye,Tovarischeskie matchi klubov 3,17:30,FSV Frankfurt,0.00,2.60,Eintracht Frankfurt,12.00,8.10,1.09
12/08,Daniya,Womens Cup,17:30,FC Heimdal W,0.00,0.00,lstykke,,,
12/08,Daniya,Womens Cup,17:30,zh Stvring W,0.00,0.00,Lyseng W,,,
12/08,Shvetsiya,Kubok Shvetsii - zhenschiny,17:45,Upsala zh Boo W,0.00,0.00,Gamla Upsala W,,,
12/08,Daniya,Womens Cup,17:45,zh Egebjerg Fodbold W,0.00,0.00,Vejle W,,,
12/08,Mezhdunarodnye,CAF Womens Africa Cup of Nations,18:00,Algeria W,2.25,2.25,Malawi W,2.50,3.00,2.50
12/08,Mezhdunarodnye,Club Friendlies Women,18:00,Barcelona W,0.00,3.00,Montpellier Women,1.07,9.50,15.00
12/08,Shvetsiya,Kubok Shvetsii - zhenschiny,18:00,Women Rappe W,0.00,0.00,Varnamo W,,,
12/08,Shvetsiya,Liga U19,18:00,SK U19 Hammarby U19,,,Vasteras SK U19,,,
12/08,Germaniya,Oberliga Essen,18:00,03 Kassel,0.00,0.00,Baunatal,3.16,4.02,1.83
12/08,Germaniya,Oberliga Essen,18:00,1960 Hanau,0.00,0.00,Bayern Alzenau,2.86,3.99,1.96
12/08,Germaniya,Oberliga Essen,18:00,II 2.20 Rot-Wei Walldorf,0.00,3.00,Darmstadt 98 II,1898,3.85,2.45
12/08,Germaniya,Oberliga Essen,18:00,KSV Hessen Kassel II,0.00,3.00,Hunfelder SV,2.84,4.05,1.95
12/08,Germaniya,Oberliga Essen,18:00,VfB Marburg,3.00,0.00,Eintracht Stadtallendorf,2.72,3.90,2.05
12/08,Germaniya,Oberliga Yugo-Zapad,18:00,Schott Mainz,2.00,0.00,Cosmos Koblenz,1.69,4.50,3.36
12/08,Germaniya,Regional Cup Berlin,18:00,BC BW Mahlsdorf / Waldesruh,0.00,0.00,Adlershofer BC,,,
12/08,Germaniya,Regional Cup Berlin,18:00,Berlin Normannia Berlin,0.00,0.00,Oranje Berlin,,,
12/08,Germaniya,Regional Cup Berlin,18:00,Blau Weiss Spandau 03 Suryoye United,0.00,0.00,Blau-Weiss Spandau,,,
12/08,Germaniya,Regional Cup Berlin,18:00,Concordia Wilhelmsruh 1895 Rapide,0.00,0.00,Concordia Wilhelmsruh,,,
12/08,Germaniya,Regional Cup Berlin,18:00,Deportivo Latino Gatow,0.00,0.00,Deportivo Latino,,,
12/08,Germaniya,Regional Cup Berlin,18:00,Einheit zu Pankow Rixdorfer,0.00,0.00,Einheit zu Pankow,,,
12/08,Germaniya,Regional Cup Berlin,18:00,Hellas Berlin Treptow 46,0.00,0.00,Hellas Berlin,,,
12/08,Germaniya,Regional Cup Berlin,18:00,Lichtenberg Rosenthal,0.00,0.00,TSV Lichtenberg,,,
12/08,Germaniya,Regional Cup Berlin,18:00,Sur Berlin TSV Wittenau,0.00,0.00,Cono Sur,,,
12/08,Germaniya,Regional Cup Sudbaden,18:00,SV Singen Hegauer FV,0.00,0.00,Turkischer Singen,,,
12/08,Germaniya,Severnaya regionalnaya liga,18:00,Emden Eintracht Norderstedt,,,Kickers Emden,,,
12/08,Germaniya,Severnaya regionalnaya liga,18:00,Jeddeloh,,,St. Pauli II,,,
12/08,Argentina,Torneo Promocional Amateur,18:00,Sarate Buenos Aires City,1.75,1.27,Belgrano Zarate,,,
12/08,Shvetsiya,Vtoroy divizion - Norrlend,18:00,Estersund Gottne,,,IFK Ostersund,,,
12/08,Shvetsiya,Vtoroy divizion - Norrlend,18:00,IF Lucksta,,,Kubikenborg,,,
12/08,Shvetsiya,Vtoroy divizion - Norrlend,18:00,IFK Lulea,,,Boden,,,
12/08,Daniya,Womens Cup,18:00,Kobenhavn Women NIF / HG,0.00,0.00,Kbenhavn W,,,
12/08,Daniya,Womens Cup,18:00,zh Silkeborg IF W,0.00,0.00,AaB W,,,
12/08,Shvetsiya,Liga U19,18:30,U19 AIK U19,,,Sirius U19,,,
12/08,Germaniya,Oberliga Essen,18:30,Eddersheim,3.00,3.00,Turk Gucu Friedberg,1.96,3.93,2.89
12/08,Germaniya,Oberliga Essen,18:30,Unter Flockenbach 2.14 Hummetroth,0.00,3.00,SV Unter-Flockenbach,1898,3.88,2.51
12/08,Germaniya,Regional Cup Berlin,18:30,Askania Coepenick HFC Berlin,0.00,0.00,Askania Coepenick,,,
12/08,Germaniya,Regional Cup Berlin,18:30,Brandenburg 03 Eichkamp-Rupenhorn,0.00,0.00,Brandenburg 03,,,
12/08,Germaniya,Regional Cup Berlin,18:30,Club Horus Union Sudost,0.00,0.00,Horus,,,
12/08,Germaniya,Regional Cup Berlin,18:30,Kickers 1900 Karow 96,0.00,0.00,BSC Kickers,,,
12/08,Germaniya,Regional Cup Berlin,18:30,Norden Nordwest BFC Germania,0.00,0.00,Norden-Nordwest,,,
12/08,Germaniya,Regional Cup Berlin,18:30,Rot WeiSs Viktoria Mitte Nordost Berlin,0.00,0.00,Viktoria Mitte,,,
12/08,Germaniya,Regional Cup Berlin,18:30,SV Eintracht Spandau,0.00,0.00,Wartenberger SV,,,
12/08,Germaniya,Regional Cup Berlin,18:30,Schmockwitz Eichwalde Borussia Friedrichsfeld,0.00,0.00,Schmockwitz-Eichwalde,,,
12/08,Germaniya,Regional Cup Berlin,18:30,Spandau Minerva,0.00,0.00,FFV Spandau,,,
12/08,Germaniya,Regional Cup Berlin,18:30,Suden 09 CFC Berlin,0.00,0.00,Suden,,,
12/08,Germaniya,Severnaya regionalnaya liga,18:30,96-2 Drochtersen / Assel,,,Hannover 96 II,,,
12/08,Germaniya,Severnaya regionalnaya liga,18:30,Hamburger SV II,,,Todesfelde,,,
12/08,Shvetsiya,Vtoroy divizion - Norrlend,18:30,Taftea,,,Skelleftea,,,
12/08,Mezhdunarodnye,Club Friendlies Women,19:00,Tottenham Hotspur Women,3.00,2.00,Real Madrid W,3.70,3.95,1.73
12/08,Shotlandiya,Regional Leagues West of Scotland,19:00,Bon Accord Cumbernauld United,0.00,1.00,Shotts Bon Accord,,,
12/08,Shotlandiya,Regional Leagues West of Scotland,19:00,FC Vale of Clyde,1.00,2.00,Benburb,,,
12/08,Argentina,Torneo Federal A,19:00,Deportivo Deportivo Rincon,,,Circulo Deportivo,,,
12/08,Argentina,Torneo Federal A,19:00,Germinal de Rawson,,,Deportivo Santamarina,,,
12/08,Argentina,Torneo Federal A,19:00,Las Parehas Escobar FC,,,Sportivo Las Parejas,,,
12/08,Argentina,Torneo Federal A,19:00,Unida Universitario Guillermo Brown,,,Juventud Unida Univ.,,,
12/08,Argentina,Torneo Promocional Amateur,19:00,Los Hornos Ezeiza,1.30,0.92,Alumni Los Hornos,,,
12/08,Angliya,Kubok Anglii,19:30,Bey Easington Colliery,1.00,1.00,Whitley Bay,,,
12/08,Angliya,Kubok Anglii,19:30,St Blazey,1.00,1.00,Tavistock,,,
12/08,Shotlandiya,Regional Leagues West of Scotland,19:30,FC Kirkintilloch Rob Roy,0.67,2.25,Arthurlie,,,
12/08,Shotlandiya,Regional Leagues West of Scotland,19:30,Ladeside FC Rutherglen Glencairn,1.75,2.33,Kilbirnie Ladeside,,,
12/08,Argentina,Torneo Federal A,19:30,Central Defensores Pto. Vilelas,,,Tucuman Central,,,
12/08,Argentina,Torneo Federal A,19:30,Deportivo Argentino Monte Maiz Cipolletti,,,Argentino Monte Maiz,,,
12/08,Argentina,Torneo Federal A,19:30,Heyg Defensores Belgrano VR,,,Douglas Haig,,,
12/08,Argentina,Torneo Federal A,19:30,Las Heras Alvarado,,,Huracan Las Heras,,,
12/08,Argentina,Torneo Federal A,19:30,Resistensiya Independiente Chivilcoy,,,Sarmiento Resistencia,,,
12/08,Argentina,Torneo Promocional Amateur,19:30,Barrancas UMET,2.17,1.45,Uribelarrea,2.31,2.72,3.28
12/08,Mezhdunarodnye,Tovarischeskie matchi klubov 1,19:30,Arsenal,1.50,0.00,Como,1.44,4.60,5.25
