Data,Kraj,Liga,Godzina,Gospodarz,Forma gospodarza,Gość,Forma gościa,Kurs 1,Kurs X,Kurs 2,Status,Link
11/08,Европа,Лига чемпионов УЕФА,18:00,Жальгирис,1.60,Динамо Загреб,2.33,6.35,4.62,1.39,incomplete,https://footystats.org/ru/europe/gnk-dinamo-zagreb-vs-fk-kauno-zalgiris-h2h-stats
11/08,Европа,Лига чемпионов УЕФА,18:30,НЕК,1.00,Олимпиакос,1.00,2.75,3.40,2.45,incomplete,https://footystats.org/ru/europe/olympiakos-cfp-vs-nijmegen-eendracht-combinatie-h2h-stats
11/08,Европа,Лига чемпионов УЕФА,19:00,Црвена звезда,2.00,Хапоэль Беэр-Шева,2.00,1.20,5.80,9.50,incomplete,https://footystats.org/ru/europe/hapoel-beer-sheva-fc-vs-red-star-belgrade-h2h-stats
11/08,Европа,Лига чемпионов УЕФА,19:15,Целе,0.67,Арарат-Армения,1.80,1.44,4.25,6.75,incomplete,https://footystats.org/ru/europe/fc-avan-academy-vs-nk-celje-h2h-stats
11/08,Европа,Лига чемпионов УЕФА,19:15,Слован Братислава,2.33,Мьельбю,1.33,1.85,3.60,4.00,incomplete,https://footystats.org/ru/europe/mjallby-aif-vs-sk-slovan-bratislava-h2h-stats
11/08,Европа,Лига чемпионов УЕФА,19:30,Штурм,2.00,Фенербахче,2.33,3.75,3.75,1.90,incomplete,https://footystats.org/ru/europe/fenerbahce-vs-sk-sturm-graz-h2h-stats
11/08,Европа,Лига чемпионов УЕФА,20:00,Лион,0.00,Спарта Прага,3.00,1.36,5.35,7.00,incomplete,https://footystats.org/ru/europe/olympique-lyonnais-vs-ac-sparta-praha-h2h-stats
11/08,Европа,UEFA Europa Conference League,18:00,Аполлон (ж),3.00,Бранн,1.33,2.28,3.50,2.84,incomplete,https://footystats.org/ru/europe/sk-brann-vs-apollon-limassol-h2h-stats
11/08,Европа,UEFA Europa Conference League,18:30,ЦСКА 1948 София,1.00,Панатинаикос,1.67,4.80,3.60,1.66,incomplete,https://footystats.org/ru/europe/panathinaikos-fc-vs-fk-cska-1948-sofia-h2h-stats
11/08,Азия,AFC Challenge League,18:00,Аль-Иттихад Алеппо,0.00,Бангладеш Полис,0.00,1.33,4.25,11.90,incomplete,https://footystats.org/ru/asia/al-ittihad-sc-aleppo-vs-bangladesh-police-fc-h2h-stats
